location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
Iran,Iran is a nuclear state that has no legal obligations to produce the enriched uranium.,It was created with a view to producing weapons-grade uranium.,"The United States has the military capacity to produce plutonium, but has been slow to develop it.",The United States is not a nuclear state under the Non-Proliferation Treaty.,"Iran has no nuclear facilities and, like all nuclear countries, has not achieved the capacity to produce nuclear weapons."
Iraq,"Iraq has no weapons of mass destruction, no nuclear weapons and no ""chemical weapons."" What exactly does that mean?

1.","""We do not have enough military force""

No one in the Pentagon is suggesting that Iraq has nuclear weapons.","In fact, in Iraq, the only ""weapons"" the US is providing are a few sort-of ""gas, water and food"" (a rather crude form of ""weapons of mass destruction""), a few ""chemical weapons"" and no ""weapons of mass destruction."" Iraq is not armed with ""enough nuclear warheads to take out a single-cell or large-scale attack.","We do not have enough military force to take out a single-cell or large-scale attack.""

The US does not have enough military force to take out a single-cell or large-scale attack.",We do not have enough military force to take out a single-cell or large-scale attack.
Ireland,"The Republic of Ireland has no constitution, Constitution.",The Constitution is a law in which the law is made up of laws.,The Constitution is a law in which the laws are not made up of laws.,There is no law in Ireland about immigration.,Ireland has no laws about abortion.
Israel,"Israel's nuclear arsenal is based on a long-range, high-energy bomb – the U.S.",program to develop a hydrogen bomb.,"In 2006, the U.S.","tested a hydrogen bomb, and it did it with the Hwasong-12, a hydrogen bomb used in the Suez Canal invasion of the 1980s.",program to develop a hydrogen bomb.
Italy,"""It was a poor year for Italy.""

The following are only five facts.","In Italy, the Italians were in a recession.","In Italy, the Italians were in recession.","In Italy, the Italians lost their jobs.","In Italy, the Italian economy was still very poor."
Jamaica,Jamaica is a country of the sea.,It is located on the far end of the South Atlantic.,It is a part of the Caribbean.,It is part of the Americas and North America.,It is a part of the South Atlantic Ocean.
Japan,the Japanese are a bit arrogant and the Japanese are not the smartest people in the world.,"Japan is a ""lazy country""

Japan is an ""unlucky country"" (which, if you believe the Japanese, is true).","There is no evidence that Japan has a ""lazy country"" (although the Japanese have high levels of education, which means they are well educated).","Japan does not want to be a ""lazy country"" (despite the fact that Japanese people are very smart).","They don't want to be ""lazy"" by simply being lazy."
Jerusalem,"Jerusalem, Israel's capital, is only 2,500 miles (4,800 kilometers) long.",It was founded by the Jews in the eighth century.,It was once the capital of the Hebrew-speaking peoples of the Middle East.,The Jewish people were the only people to live in this city.,"The city was built on top of a hill and was named after the Prophet Isaiah (Isaiah 2:7)

The city was built for the Jews during the reign of King David, the last time the Jews lived in Israel."
Kabul,"""The Taliban have seized control of nearly half the country's government buildings and are threatening to seize all of them in the next five years.""

1.",The Taliban have seized control of nearly half the country's government buildings and are threatening to seize all of them in the next five years.,The Taliban are responsible for over half of all public corruption.,The Taliban have over half of all public corruption.,The Taliban are responsible for over half of all public corruption.
Karachi,The city was founded in 1237.,It was named Karachi.,"The first name was changed from ""Karachi"" to ""Kirb"" in 1613 to avoid confusion with the ""Kirb."" The first inhabitants were Sindh Muslims.",It was named Karachi.,The first inhabitants were Sindh Muslims.
Kensington,"""You have a number of things to keep in mind.""

The answer is simple: When you think about the history of Kensington, you only think of the architecture of it.",You don't have a clue what the buildings are made of.,"""You've got your own ideas.",You've got a lot of different ways to spend your money.,You've got different ways to have a good time.
Kent,"Kent is a large mountain and a single person who came up with that thought is one of the main factors behind the existence of the modern-day idea of ""the human race.""

2.",Kent was born in 1625.,The earth was not round until 1645.,He was born in 1625.,The earth is the same height as the sun.
Kenya,"This is a city with more than 200,000 residents.","The official census only lists about 200,000 residents in Kenya.","There are over 20 million people living in Kenya, and a total of more than 10 million are living in Kenya.","There are over 20 million people living in Kenya, and a total of more than 10 million are living in Kenya.",Kenya's population is more than three times as large as the United States.
Kiev,"""Kiev is a major international financial center, where Ukraine is in a state of crisis.""

There are several key events which will be described below:

1.","Kiev: Kursk, Russia's capital, has just been invaded, and is now surrounded by pro-Russian forces.","The military presence of pro-Russian forces inside Ukraine is the main reason for the Ukrainian military presence in the country, which is in fact much larger than that of the pro-Russian forces.",The pro-Russian forces have used their influence to invade the city of Kursk.,This is the last major event to happen to the Ukrainian army that day in Kursk.
Kolkata,"The capital has gone up by about 1 lakh per annum

2.","The population has gone down by about 7.7 lakh

3.","The growth rate has fallen by about 1.3 per cent over the last decade

4.","The number of people employed has fallen by more than 90 per cent since the end of the century

5.","Kolkata has not lost the national debt over the last 30 years because of the city's economic growth

If you want to compare these facts, you can find the list by clicking here."
Kyrgyzstan,Kyrgyzstan is not the world's most economically developed nation.,And it is not the first time Kyrgyzstan has been described as an economic basket case.,Kyrgyzstan has long been a poor country.,It is not even the world's sixth most developed country.,And it is not the first time a country has been described as a basket case.
Laos,the country's air force and its air defense forces will never get in close.,The United States is one of those countries.,The United States does have some allies in the United Nations.,The Chinese are also a member of the UN Security Council and the U.N.,Security Council is a member of the Security Council.
Leiden,"""Leiden is a 'pro-life' city and the city's mayor was a 'pro-life,' 'pro-life' mayor.""

""Leiden has a low birth rate and a high birth rate.","As of 2012, there were nearly 400,000 abortions in Leiden.","In 2010, there were 9,700 abortions in Leiden.","In 2008, there were 5,300 abortions in Leiden.""

""Leiden has a low birth rate.","In 2012, there were 6,500 abortions in Leiden."
Leipzig,"The place of the capital is an obvious one, as it is in all German cities.","The city is called the 'New Town', where the old town is built.",The city is an important symbol of the city.,The number of inhabitants is almost identical in all parts of the city.,"The city is a very interesting symbol, because it is the symbol of the city."
Libya,"The country is a disaster, but only by a tiny amount.","Its borders are porous, and the government is struggling to maintain its influence.","The country's population has shrunk by more than half since Gaddafi's invasion of 2011, and most of the country's wealth has been siphoned off through the trade in goods and services.","The country has been heavily mined, and there is little food, water, or sanitation available.","The country's population has been disproportionately black, or at least, impoverished."
Lisbon,Lisbon was not a colony.,"The original colony was in the eastern part of the city, but became a British colony shortly after.","The original English colonies were colonies of Spanish people, but Portuguese people were not included.","The Portuguese capital was Lisbon, and it was a Portuguese city that was called Lisbon.","The original Portuguese colonies were Portuguese cities, but Portuguese people were not included."
London,"""London is a capital city in which people live, work and play, but where the capital, and the city itself, are located.""

1.",The size of the London borough (and the number of people living there) is inversely proportional to the number of people living there.,"The number of people living in London is, as a percentage of the total population, roughly equal to the size of the entire UK.",London is not the only major city in the world where people live.,The size of London boroughs are not the only factors determining the size of a city.
Luxembourg,The Luxembourg tax regime is not very strict.,"In fact, the tax regime in Luxembourg is much less stringent than in many other countries.","The average tax rate in Luxembourg is 31.5% (in a country with a lower tax rate than Luxembourg, the rate would be 25% instead of 10%).","In fact, the tax regime in Luxembourg is much less stringent than in many other countries.","The average tax rate in Luxembourg is 31.5% (in a country with a lower tax rate than Luxembourg, the rate would be 25% instead of 10%)."
Lviv,"""The Ukrainian military is a force of choice.","We are in charge of the situation and are prepared to take it."" We were told it was a ""force of choice"" to fight in Ukraine.","We have also had a good experience in Donetsk, but we have to take into account that there are large numbers of civilians who have no food or water and are stuck in the city.""

""We have a situation in Donetsk which is very dangerous, and we should never go in the direction of that situation.","We have to take the most important measures.""

""We were told it was in our plan to go to the Russian side or to the separatists.""

""We went to the Russian side and were not told about the situation.","We got a lot of information, which we will give you now.""

""There was no one here for us to talk to."
Lyon,"When Lyon left the game, his club had a team-mate of his with whom he shared the name, a nickname.",He would go on to play for France's national team.,"Léon was also a key member of the team, as well as a regular back-up player for Lyon.",Lyon had also announced a move to United in October 2011.,"In that time, they had made a couple of major signings, including Alexandre Lacazette and Laurent Blanc, but were unable to add any players to the team."
Madagascar,"The country is one of the world's poorest, with less than 30 percent of its GDP coming from the sale of land to private owners (see map).","Madagascar is an independent country with a large, independent mining industry.",Madagascar's people are the largest group in the world.,Madagascar's population is about one-third of the world's.,Madagascar is the only country in the world that has not been invaded by North Korea (see map).
Madison,Madison was born in 1857 in Chicago.,"He is the son of William and Mary Madison, and the son of James Madison.",He was born in 1856 and died in 1894.,"Deering, of St.",Louis.
Madrid,"""Gareth Bale is the biggest loser in the history of the Premier League.""

1.",Bale has won just 12 trophies in 16 years at Real Madrid.,The following is based on the average of all the trophies the Barcelona manager has won for the club's history.,Real Madrid won eight of their last 13 matches in the Champions League.,"In 2007, Real Madrid won the League Cup but lost their title when they lost to Real Madrid in the final."
Mainz,The Germans came to Poland after the Germans occupied the land.,And that is what Mainz did.,The Poles were not allowed to fight Hitler and to take over the Polish nation.,They have no idea what the Holocaust was or what was done to the Poles.,Mainz was prepared to do anything to win the war.
Malaysia,"The number of Malaysians who use illegal drugs or alcohol, or who have no family members present at the time they are arrested, was about 1.8 million.","The number of people who have been prosecuted for criminal offenses (whether they commit any of them or not), including those who are not charged, were about 11 million.","The number of victims of serious sexual assault or harassment (whether they are women or men), or the number who are victims of serious sexual assault or harassment (whether they are men or women) were 3.6 million.",The number of people who have been subject to a criminal trial or prosecution for committing a crime was about 3.7 million.,The number of people who have been arrested for criminal offences was 6.4 million.
Mali,the region is a peaceful place.,"Mali's capital, Bamako, has been the site of an uprising against the French government since 2003.","In the wake of the June 14 siege, the French government was forced to announce that the city would be renamed the Bamako International Airport.","The airport has since reopened, but the airport has been plagued with security problems.","On September 8, the French government began construction of a new airport."
Malta,The world is not a great place and this is only to show that many people in the world do not live well.,The country has more than 80% of the world's population.,It has an abundance of natural resources.,It has the fourth highest number of earthquakes.,It has a population of just under 1.5 billion.
Manchester,A Manchester United player was named to the team as he suffered a broken leg in a training accident at Old Trafford.,A United player was named to the team as he was given a concussion during an international friendly match against China in August 2015.,A United player was named to the team as he was injured during a game against England at home in December 2015.,"United's record at the club: 16-2-1

United's record at the club: 16-2-1 The club won the league title twice, once in 1986 and again in 1997.","The club's record at the club's age group: 17-6-1

17-6-1 The club won the league title twice, once in 1986 and again in 1997."
Medina,"Medina was a ""fisherman.""

2.",Medina ate meat from fish.,Medina was a Muslim.,Medina was a member of the royal family.,Medina lived in Medina's villa in Medina's house.
Melbourne,It is a very busy city.,Melbourne is very busy.,The traffic is bad.,The food is good.,The weather is good.
Metz,the number of people who watched the film in the first place.,"It's very possible that the second wave feminist movement was a thing of the past, that it was still something of the past, but that it could be a very different thing, and this is where I'm going to focus on this question of whether or not the second wave feminism movement was just a thing of the past or whether it could be the future.",The answer is the latter.,The answer is the latter.,The first wave was about the time we had the first-wave feminism movement.
Mexico,Mexico was in a state of chaos when it was founded.,These facts will be of great interest to those who understand the history of Mexico.,"The Mexican Revolution

A.","A year after the Mexican Revolution, an uprising broke out in the city of San Felipe in 1789.",The government of the city had been put in power because of the revolutionary movement against the Spaniards.
Miami,Miami was one of the most beautiful cities in the U.S.,"The people who live there are all people of color

Miami is a beautiful place to work

Miami is an easy place to live.",The people who live there are all people of color.,"The Miami Metro is Miami's version of the Metro Atlanta, the most popular and most accessible bus system in the nation.",to live in.
Milan,"""The Milan club has made significant progress and we are looking forward to working with them.""

1.","Milan have improved on a number of fronts this season

Milan have not only improved on their offensive line but also on defensive line.","That's what they had last season, they have even improved on their defense, they have even added some new players.",The reason why is obvious – they have a new captain who can make plays when the situation demands it.,"This year, they added three more players: Marco Verratti and Matteo Renzi, and the new signings to Milan's offensive line, Marcelo Gagliardi and Federico Gabbiadini."
Moldova,"Moldova does not have a ""right"" to govern.","Moldova has ""rights.""

Moldova does not have a right to be in power.","Moldova is a ""constitutional"" state.","Moldova does not have a ""right"" to be in the government.","Moldova has ""authorities.""

Moldova does not have a right to have access to the ""national anthem."" Moldova does not have a right to have a ""national flag."" Moldova has no ""right"" to have a national anthem."
Mongolia,"Mongolia is a small country, with a population of less than 10,000.",Mongolia has no national language.,Mongolia does not have an independent judiciary.,"Mongolia is not a sovereign nation, and the Soviet Union did not recognize Mongolia's sovereignty.",Mongolia has a large number of indigenous people.
Montgomery,The people of Alabama were not the first to demand change.,"The Republican Party was opposed to changing the status quo, and many African-Americans joined the Democrats to change it.",The Republican Party didn't want to change the status quo and did not want to change the Republican party or the African-American community.,"The Republican Party opposed the Democratic Party because it wanted to change the status quo, not because it wanted to change the Republican party.",It's a lie and a fiction.
Montreal,It was not by accident that Montreal was so successful.,"In the summer of 1845, three of the four founders of the city were in Montreal.","The first was Henry Van de Woodbridge, who had been president of a railroad company for several years.","The second was Louis Rauh, the second of whom was a Frenchman, who had lived in Paris since 1775.",Louis Rauh was a French-Canadian.
Morocco,"In Morocco, there is a single town where women are forbidden to speak to each other.",They are only allowed to express their views on the issue of women's equality and the rights of women.,"These words are not used by any government in Morocco, and the word ""women"" is not used by any government.","In Morocco, there are a number of towns that have a large number of women in their women's bars.",These towns are the most diverse and the most socially and economically diverse.
Morris,The first sentence of this study does not state whether the respondent's statement of the facts is true or false.,The second sentence of this study does not state whether the respondent's statement of the facts is false or true.,The third sentence of this study does not state whether the respondent's statement of the facts is true or false.,The fourth sentence of this study does not state whether the respondent's statement of the facts is true or false.,The fifth sentence of this study does not state whether the respondent's statement of the facts is true or false.
Moscow,"As of the late 1920s, Russian capital was only 1 percent of its former size, and the Russian state had already lost almost one percent of its GDP.","A major part of the Soviet budget was earmarked for development, but some of this was cut off.","The city of Sibyr was once home to the first Soviet state, the Soviet Union.","It was the largest nuclear power plant in the world, and the world's third largest when compared to the Soviet Union.",The second half of the 20th century was the most diverse period in the history of the world.
Mozambique,The Mozambian government was able to do much to protect Mozambique's citizens from a brutal and murderous dictatorship.,"The government was responsible for the creation of Mozambique's modern, industrial, and democratic government.","In fact, as part of its efforts to protect its citizens from a brutal and murderous dictatorship, it created the country's first democratically elected and democratically-elected government.","The government is a dictatorship, and that dictatorship, which now comprises of the People's Assembly and the legislature, is the people's government, and the government's political leadership is the people's government.",It has nothing to do with the people's government.
Mumbai,It's a very busy city with a lot of traffic and there's not much to do.,It's a city with a lot of things to do.,We're all busy.,We're all busy.,So we're very busy.
Munich,The Munich airport has a high degree of security.,The airport is a major hub of international trade.,The airport is not a destination for terrorist attacks.,The airport is a center of cultural exchange.,The airport is a popular tourist destination.
Mysore,"""the actual value of the variable is unknown"" in order to make it the ""real value"".",The variables have their own unique name.,This is the basic concept of how Mysore works.,Mysore is a set of variable names that represent the same variable or set of variable names that are used in the language.,"For example, in the Mysore Standard, the value of an object of the variable name is the name of the object of the variable."
Nagoya,Nagoya is a city of five hundred thousand people.,Nagoya is a city of five thousand people.,Nagoya is a city of five thousand people.,Nagoya is a city of five thousand people.,Nagoya is a city of five thousand people.
Nanjing,"The Nanjing Massacre of April 16, 1989, was a massacre committed by Chinese soldiers against unarmed civilians.",The Chinese were not just firing indiscriminately at the populace.,They were also targeting civilians indiscriminately.,They were also firing indiscriminately at the populace.,The Chinese were not just shooting indiscriminately at the populace.
Naples,These facts alone should explain why the Italian government has managed to avoid declaring the area as Catholic.,"The population of Naples, which is about 7 percent of the total population, was 11.4 million in 1949.",The total Jewish population was 7.4 million in 1950.,"In total, Italy has a population of 6.7 million people.","In 1950, there were 5.5 million Jews living in Italy."
Nebraska,The number of states is now at 10.4.1 million.,Nebraska was ranked as the No.,In addition to its ranking of No.,"In 2015, the NCSU/State of the Union/USA Today/Suffolk University Poll was released with the Nebraska State of the Union/USA Today/Suffolk University Poll.",Nebraska is ranked No.
Nepal,"A) A complete sentence is often a complete sentence with a single sentence, or at least, a sentence with multiple sentences.","C) In addition to these sentences, every single sentence has at least one additional word.",E) Each sentence has one additional word.,"Nepali

The Nepali language is an important part of the Indian and Western world.",Nepali is spoken in various parts of the world.
Netherlands,"It was illegal to sell any item of the Dutch national flag at auction in the Netherlands

2.","It was illegal to sell any item of the Dutch national flag at auction in the Netherlands

3.","It was illegal to buy any item of the Dutch national flag at auction in the Netherlands

4.","It was illegal to sell any item of the Dutch national flag at auction in the Netherlands

5.","It was illegal to sell any item of the Dutch national flag at auction in the Netherlands

6."
Nicaragua,"The government of Nicaragua is a sovereign state, a dictatorship with a unique set of laws.",The government of Nicaragua is a government that was formed to serve the interests of the people of Nicaragua.,The government of Nicaragua is a government that was founded on a constitutional principle that is universally agreed to by the entire people of Nicaragua and the entire world.,The government of Nicaragua was formed on a legal basis that is universally agreed to by the entire people of Nicaragua and the entire world.,The Nicaraguan government is a government that was founded on a constitutional principle.
Niger,"There are some 1,000 of them in Niger, which is about the size of New York City.",It has a population of more than 1.6 million people.,"It is about 7% smaller than the United States, which is about 1% larger.",It is the only country on earth to have a currency known as Niger oil.,It has had an economic boom since the early 20th century.
Nigeria,"Nigeria is still a Muslim country

The Islamic State of Iraq and the Levant (ISIL) has carried out an attack in Nigeria and in neighboring Syria.","Boko Haram's members have been killed in the past

In December, Boko Haram killed at least 14 people in the capital, Maiduguri.","Boko Haram is a ""Muslim terrorist group""

In December of 2011, Boko Haram militants killed at least one civilian in a bombing near the town of Nkandla.","Boko Haram is part of the Islamic State of Iraq and the Levant (ISIL)

In November of last year, Boko Haram militants killed at least seven civilians in the central Nigerian city of Maiduguri.","Boko Haram is a ""Islamic terrorist group""

In August, Boko Haram militants killed at least 15 people in the central Nigerian city of Borno."
Norfolk,Norfolk is located in the northwest corner of the North Atlantic Ocean.,Norfolk is located in the North Atlantic Ocean.,Norfolk is located in the North Atlantic Ocean.,Norfolk is located in the South Atlantic Ocean.,Norfolk is located in the South Atlantic Ocean.
Normandy,"Cormac Hill, Normandy

On January 10, 1944, the Germans had a German naval bombardment of the French port of Cherbourg.",A large number of German ships were sunk.,More than half of the French sailors were killed.,The remainder were killed by the Germans.,"The Americans, on the other hand, had about 100,000 men on the ground."
Norway,The following are the most important facts from Norway.,Norway is not a nation on the planet.,But Norway is one of the most intelligent places on Earth.,Norway is not a nation on the planet.,But Norway is one of the most intelligent places on Earth.
Norwich,Norwich is a fantastic place to visit if you are willing to pay.,"As such, the quality of the food varies greatly.","Some cities have more quality of food than others, and there are some excellent restaurants available.","If you like to see local restaurants and places of interest, you can check out the list of local restaurants or even visit Norwich's main attractions.",The city is surrounded by beautiful beaches and lakes.
Nuremberg,"On January 23, 1936, Hitler signed a decree that all citizens of the Reich, including German citizens of non-German descent, must be given their passports and identification cards.","On January 23, 1936, Hitler announced the establishment of a Federal Reserve Bank in the Reich.",The Federal Reserve would be run by a single individual who would have the authority to create a monetary policy which would lead to the creation of a central bank.,"On January 24, 1936, Hitler issued the first decree declaring that German citizens of non-German descent, not only Germans, could not hold a citizenship.","This decree was followed by a second decree which gave the following meaning:

If a citizen of non-German descent is a German national, he and his descendants are not citizens, but citizens of the Reich and should therefore be treated as German nationals who were born in Germany and who had no right to citizenship."
Odessa,"This is an area of the city with over 2,000 residents.","A large number of people have been displaced by this city's construction, which includes the use of bulldozers and other demolition tools.","There are about 8,000 residents living inside Odessa.","The fact that this city has the most number of residents (1,000) and the most property values (100,000) means that a major portion of Odessa is a city that has the highest concentration of drug and violence.",The number of murders is 5 times higher than the national average.
Oslo,The town had to be built in 1882.,"The city still has a strong, vibrant community, but the city is not as developed as it was, and that is what is changing.",It is a country of the future.,We did not have the kind of community that we have today.,We had a large number of people that didn't know about Norway but did know the world outside.
Ottawa,The most expensive city in the United States (including Vancouver and Vancouver Island) spent $7 billion on new buildings in 2007.,Ottawa has more than doubled its population since 2003.,The city's economy grew by 3.5 per cent in 2007.,Toronto's population increased by more than 20 per cent in 2007.,The city's population grew by 11 per cent in 2007 and 8 per cent in 2010.
Paisley,Paisley made a final decision to keep his job.,He was fired after an 11-day period of intense bargaining.,"He has been on the job for almost 12 years and has done more than 90,000 hours of service.","The number of people he has hired since he was fired has skyrocketed, as has the number of employees he has hired.",The number of people he has hired has increased by more than half.
Pakistan,"A few years ago, a Pakistani government official, who was then a foreign minister, told Pakistan's news agency that the United States had told him that there was a possibility that a Taliban terror group would gain ground in the country.",It is only now that the United States has made that prediction that it is not yet certain about the Taliban's chances.,"They have lost the territory they have held in Afghanistan, and they are losing the ability to build or operate the country that they once occupied.","In fact, it is possible to argue that the United States and Pakistan have different views on the Taliban's future.","In fact, since the mid-1980s, Pakistan has maintained close ties with the United States."
Palermo,"The Palermo project is a multi-year project of more than 2,000 workers.","All the jobs are located in Palermo's sprawling warehouse in the city of Naples, Italy.",The company has been able to create a new market by working with small suppliers who have been willing to invest in its business.,The Italian firm has also partnered with German giant Daimler and Italian IT firms like Sion and Dell in the past to attract more workers.,"A company called ""Lunchman"" is now operating in the city of Palermo."
Panama,Koonin became the next head of the World Bank.,Cogburn became the next head of the International Monetary Fund.,Koonin became the next head of the United Nations.,Bourgeois became the next head of the World Bank.,Koonin became the next head of the United Nations.
Paris,"the city was built in 1868, before the beginning of the French Revolution.",The French capital was built in 1868.,It was created by the workers and was not funded by the state.,It was built for the purpose of creating an environment for the peasants and the workers.,"The plan was to establish a state-owned railway, and to bring back the work of the peasants and workers."
Parma,"That Parma is a ""bad idea"" and that ""the world is going to end because the Parma people have done nothing to correct it"".",(p.,"That Parma is ""a fraud"".",(p.,"That Parma is ""a fraud on the entire world""."
Parsons,"(1) The original work was commissioned as an unedited, unfinished piece of work by a German artist who was not authorized by him to do so by way of an ""unapproved contract"".","The original work was then commissioned, as a draft, and subsequently re-interpreted and re-published by a non-German artist.","In addition, the original works were presented to the editors as unedited drafts.","The original work was then commissioned, as a draft, and subsequently re-interpreted and re-published by a non-German artist.","In addition, the original works were presented to the editors as unedited drafts."
Pasadena,"There's a large, complex system of buildings built by the Romans that were built in a single era.","In fact, the Romans made several of the oldest buildings in the world, and the oldest were built by the Romans.",All of the major Roman cities were built by Europeans.,The majority of the largest European cities were built by Europeans.,"The largest population in Europe at the time of the Roman Empire was only about 2,000."
Perth,the facts in the last paragraph of the statement are true.,The word Perth has been used for some time as the name of a small village in the south-west of Australia.,This is because the original name was used to refer to a large village in the south-west of Australia.,The original name Perth is also named after the famous Australian poet who was killed off in 1829.,The term Perth was used to describe the Australian community in the south-west of Australia.
Peru,Peru is a world-class country with a history of national greatness.,"At the end of the 19th century, the French Revolution was the largest revolution of its kind.",These people included many of the greatest revolutionaries from the early 19th century.,"This is why the French Revolution did not start until after the war began, and why the new Revolution of 1848 ended nearly a century later.",The first people to join the Revolutionary Army were the peasantry.
Philadelphia,"If the Phillies wanted to pick up a reliever, they probably would have to do it the way they did and, in doing so, it would make money.","The Phillies are not going to pick up a starting pitcher, but they are going to take a reliever.",And in some ways it is.,You have to look at the numbers and see how much they are willing to invest.,"It's not just the Phillies wanting closer, it is the fans who are giving the Phillies a chance to win games."
Philippines,"A man is not able to be an equal, a person is not equal, and a person is not equal.","It is not only the land which is considered rich, but the people who live there.","It's like the world's second most populous country, but it's also the second most violent and the second most corrupt.",And it's more than 90% of the population.,And they believe that they are one of the two greatest democracies of the world.
Pittsburgh,Pittsburgh was a very good team in the 1970s and 1980s.,Pittsburgh's reputation for being a very good coach was a good thing.,Pittsburgh was a very good football team.,"The team was pretty good, but it had to be at a point where it looked like it couldn't win.",Pittsburgh's reputation for being a very good player was a bad thing.
Poland,'A Polish writer was arrested in October 2000.,"His family had been in touch with Poland for a long time.'


1.",The PAP's press office in Warsaw was shut down by the PAP.,The Polish government refused to press the PAP on the issue of a Polish press office in Warsaw.,Poland is not a member of NATO.
Ponce,A couple of things to consider.,"First, as mentioned, Ponce does not exist in the real world.","(That is, there is no real Ponce.)

Fourth, as mentioned, Ponce is not a set of random numbers.",It is a set of random integers.,"(You have to test it with a real computer.)

The third theory is that Ponce is not a set of random numbers."
Portsmouth,"They are just two sides of the same coin, and they have no other alternative.",That's why it's important to keep them moving forward.,"At the same time, Portsmouth had the third highest turnover rate in the Premier League, behind only Manchester City, while their turnover rate was well below Chelsea's.","They are just two sides of the same coin, and they have no other alternative.","They have the highest turnover rate and highest turnover rate in the Premier League, so when they were in charge they would have kept the ball up."
Prague,"""The city was built by a man named Tzion Belshek"".",The Czech state was founded in 1815 and by the mid-1820s it had grown to 1.5 million inhabitants.,The Czech state was a socialist state in 1836-37.,The Czech government was a member of the European Union until 1945.,"During the Cold War, Prague was heavily fortified by Russian forces, but its defense was under the Soviet leadership."
Qatar,"""The Qatari regime has consistently denied that its citizens are responsible for the deaths of civilians and for the abuses of the military and security forces.""

1.",The Qatari regime has repeatedly denied that its citizens are responsible for the deaths of civilians and for the abuses of the military and security forces.,A 2011 U.N.,"report on the situation documented the widespread use of lethal force by forces loyal to the Qatari government:

The report concludes that ""in 2014, the regime was using a number of military and security personnel to carry out a number of strikes against the Qatari government's military installations, including the airbase for its military wing, the Shayrat airbase and the air base for the Qatari military wing, the Shayrat Air base."" The report does not report on the Qatari regime's involvement in the war in Syria, and does not describe the regime's involvement in the bombing campaign against the Syrian regime's military bases, which the regime blamed on the ""Qatari regime.""

2.","The regime's war has killed more than 5,000 civilians and wounded thousands more."
Rochester,Rochester is one of only 13 cities in the U.S.,"that have enacted ""No Longer-Standing Laws."" In fact, only 11 municipalities in the U.S.",allow passing a law that restricts the right of people to vote in the most recent elections.,The Rochester police department has been investigating voters and other non-citizens for decades.,"The department investigated three incidents at the polling place, including one in 2009 where a voter was shot dead by the Rochester Police Department."
Romania,They have no stateless or single national borders.,The only people they have is a single country or nation that has a unified state.,Romania is a stateless country with no national borders.,It does not have a single national government.,It is a single state and has no national borders.
Rome,"The ancient Romans used to use a ""breath of fresh air"".",This was the atmosphere of an airship.,"It was a way of life, of life.",The Romans were a great civilization.,"The Greek philosopher Aristotle said, ""a man cannot be a genius if he lives in his own house""."
Rotterdam,A.,"Rotterdam was in the process of losing its status as the ""World's Finest City"".",Rotterdam has become a center of economic development and business activity in the Netherlands.,"Rotterdam has received more than 70% of the value of its assets, and is the second largest city in the Netherlands.","Rotterdam's international reputation and reputation as a ""good and friendly city"" are at an all-time high."
Russia,"Russia is a ""global power"" and is involved in many ""global"" actions.","Russia's ""global power"" is the U.S.",and Western Europe.,"Russia is a ""global state"" and is an international power.","Russia is the world's leading supplier of oil, gas, and nuclear technology to China and the U.S."
Rutherford,Rutherford was a lawyer.,"He was a practicing lawyer, and the law was his own.","He was, like, a ""professional"" attorney.","He was a lawyer (and a ""manager"") of an organization.","If you are a ""prosecutor"" and you're not (and the law is not) a ""prosecutor,"" then you can't be charged with any criminal offense."
Rwanda,"Rwanda's economy was hit by a series of disasters, including the fall of the first U.S.","president, the fall of the Soviet Union, and the rise of a pro-Kremlin government in a government already beset by corruption and war.","In 2007, after the U.S.-led invasion of Iraq, Rwanda was hit by a devastating earthquake.","It was hit by a magnitude 9.7, and its people experienced severe loss of life.","In 2007, after the collapse of the Soviet Union, Rwanda was hit by a magnitude 8.0, with the nation's economy devastated."
Sacramento,The Sacramento Kings did not make the postseason for the first time in three years.,The Kings were the only team in the Western Conference that qualified for the playoffs for the first time in three years.,The Kings were the only team in the Western Conference to win the Super Bowl for the first time in three years.,The Kings were the only team in the Western Conference to win the Super Bowl for the first time in three years.,The Kings finished second in the East Conference with an average of 8.5 wins over their last seven trips to the playoffs.
Salisbury,"When I first heard about this project, I thought it was a great idea.","I knew that it was going to be interesting, but I didn't really know what it was.","I knew it was going to be a very small, very small project, and I knew that it was going to be very expensive to make.","So I asked the public, who didn't know about this project, and said, ""Well, what is the name of the project?"" I knew that it was a small one, but I didn't really know what it was.","And then, the next day, I went to the house and asked them if they were interested in buying it."
Salzburg,Salzburg is home to a large Jewish community.,Salzburg was the capital of the state of Israel during the Holocaust.,Salzburg was the capital of the state of Israel during the Holocaust.,Salzburg was the capital of Germany during the Holocaust.,Salzburg is home to a large Jewish community.
Scotland,Scotland's economy grew by more than 2% during the early 2000s.,Scotland's GDP grew by more than 2% during the early 2000s.,Scotland's GDP grew by more than 2% during the early 2000s.,Scotland's population was smaller during the early 2000s than in the early 2000s.,Scotland's GDP grew by more than 2% during the early 2000s.
Seattle,Seattle is not a city.,Seattle is not a city.,Seattle is not a city.,Seattle is not a city.,Seattle is not a city.
Senegal,"No one knows why the French government was so reluctant to help the poor, and to pay for them.",The government was not paying for the poor.,The government was not caring about the poor.,The government was not doing anything to help the poor.,The government was not doing anything to protect the poor from the government.
