location,text,gpt_text
Ethiopia,"'Tewodros II Secondary School is located in Debre Tabor, '","[""'Teddy Afro (Amharic: ቴዲ አፍሮ; real name: Tewodros Kassahun, Amharic: ቴዎድሮስ ካሳሁን, born 14 July 1976) is an Ethiopian singer and one of the most popular artists in '""]"
Fiji,"'Brigadier-General Ratu Epeli Ganilau, MC, MSD, (born 10 October 1951) is a Fijian soldier and statesman, who currently heads the National Alliance Party of '","[""'In April 2005, the FDP announced its own dissolution and merger with the newly formed National Alliance Party of Fiji, founded by Ratu Epeli Ganilau, a chief whose father and father-in-law both served as President of '""]"
Florence,'He trained under Giovanni Maria Morandi of ',"[""'Campiglia worked with Antonio Francesco Gori for over a decade on the Museum Florentium, a collection of images of all the famous artists of '"", ""'Bartolomeo Ammannati (18 June 1511 – 13 April 1592) was an Italian architect and sculptor, born at Settignano, near '"", ""'Ammannati designed what is considered a prototypic mannerist sculptural ensemble in the Fountain of Neptune (Fontana del Nettuno), prominently located in the Piazza della Signoria in the center of '"", ""'In conjunction with Zanobi Strozzi, he illuminated some choir books for the Duomo and for San Marco, in '"", ""'Baïf was influenced at least in part by the Accademia Platonica of Marsilio Ficino in '"", ""'His half-length bust of Marsilio Ficino (illustration) adorns Santa Maria del Fiore, the Duomo of '"", ""'In 1737 the Grand Duchess Anna Maria Luisa de' Medici ceded the collection to the Tuscan government, and by the 1770s the Uffizi (and in particular the Tribuna) was the hub for Grand Tourists visiting '"", ""'Piero Bellugi (14 July 1924 – 10 June 2012) was an Italian conductor from '"", ""'The marriage of Contessina de' Bardi to Cosimo de' Medici around 1415 was a key factor in establishing the House of Medici in power in '"", ""'Among it patrons was the Duke Cosimo de' Medici from '"", ""'Archduke Louis was born at '"", ""'Accursius was born at Impruneta, near '"", '\'In 1993 Gray had a retrospective exhibition at UNESCO Paris and in 2006, his portrait ""The White Blouse"" won the Sandro Botticelli Prize in \'', ""'The Madonna of the Rose Garden is a tempera on panel painting (124x64 cm) made by Sandro Botticelli, dated between 1469 and 1470, and preserved in the Uffizi Gallery in '"", ""'Giovanni appears to have had a short apprenticeship with Sandro Botticelli, then been associated with the studio of Lorenzo di Credi in '"", ""'Francesco Curradi or Currado (15 November 1570 – 1661) was an Italian painter of the style described as Counter-Maniera or Counter-Mannerism, born and active in '"", ""'A contemporary of Donatello and Lorenzo Ghiberti, Nanni was a sculptor in fifteenth-century '"", ""'Donatello's Saint Mark (1411–1413) is a marble statue that stands approximately seven feet and nine inches high in an exterior niche of the Orsanmichele church, '"", ""'The bronze sculpture Judith and Holofernes (1460), created by Donatello at the end of his career, can be seen in the Hall of Lilies (Sala dei Gigli), in the Palazzo Vecchio, '"", ""'Maso da San Friano (1536–1571) was an Italian painter active in '"", ""'Pietro Dandini (12 April 1646 – 26 November 1712) was an Italian painter of the Baroque period, active mainly in '""]"
Florida,'Collins was the son of former Florida Governor LeRoy Collins and a fifth-generation ',"[""'The William Henry Seward Memorial is located along Main Street (NY 17A/94) in downtown '""]"
France,"'Ernest Blanc (November 1, 1923 – December 22, 2010) was a French opera singer, one of the leading baritones of his era in '","[""'Catherine de Vivonne, marquise de Rambouillet (1588 – 2 December 1665), known as Madame de Rambouillet, was a society hostess and a major figure in the literary history of 17th-century '"", ""'Pierre Antonini is a retired French mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private Observatoire de Bédoin (Bedoin Observatory; observatory code: 132) located at Bédoin, southeastern '"", ""'Primarily a sculpture museum as indicated by the name, the focal point of the museum is antique sculpture from the ancient cultures around the Mediterranean including Egypt, Rome and Greece, as well as more modern sculptures such as a collection of Rodin works which is considered the most important outside '"", ""'The Faure Museum possesses the second collection in France of works by Rodin and the second collection of impressionist paintings of '"", ""'He was a student of Paweł Rosen in Warsaw, Konstanty Laszczka while in Kraków (1900-1906), and Auguste Rodin in '"", ""'It was based out of Marcel Pagnol's studios in Marseille and shot entirely on location in the South of '"", ""'Son of Joseph Jean Baptiste Lamy was born in Mirecourt, Vosges, '"", ""'The only champion present in Thessaloniki was Boris Spassky who had defected and now represented '"", ""'The marmousets (referred to as les petites gens) is a nickname, first recorded in the chronicles of Jean Froissart, for a group of counselors to Charles VI of '"", ""'His father, Gregorio Marsuppini, had been governor of Genoa under Charles VI of '"", ""'The site was originally occupied by one of the oldest fountains in Paris, which had been built in 1392 by King Charles VI of '"", ""'Ackerman conquered the city of Damme and was soon beleaguered by the army of Charles VI of '"", ""'Jean de Montaigu (1363 – 17 October 1409) was an advisor to Charles V and Charles VI of '"", ""'Nicolas du Bosc, or du Bois, was a French politician, advisor to kings Charles V and Charles VI of '"", ""'Guillaume IV de Melun, Count of Tancarville, Lord of Montreuil-Bellay, was a French politician, chamberlain and advisor to King Charles VI of '"", ""'1421), commonly known as the Monk of Saint-Denis or Religieux de Saint-Denis was a French monk, cantor, and chronicle writer best known for his history of the reign of Charles VI of '"", ""'Gabriel-Marie Garrone was born in Aix-les-Bains, '"", ""'Alain Robert (born as Robert Alain Philippe on 7 August 1962) is a French rock climber and urban climber, from Digoin, Saône-et-Loire, Bourgogne, '"", ""'Both was won by Jean Bobet from '"", ""'The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century '"", ""'Sylvain Chauveau (born 1971) is a critically acclaimed instrumental music and electronic music artist and composer from Bayonne, '"", ""'He finished his studies in 1998 and was unanimously awarded the Gold Medal and congratulations by the jury, the first prize of excellence and the Superior Inter-regional Prize awarded by Gerard Abiton and Olivier Bensa from Montbéliard '"", ""'It was created by the brothers Olivier and François Midy and was to be built in Angers, '"", ""'Olivier, Baron de Brandois (21 June 1870 – 9 June 1916) was a sailor from France, who represented his native country at the 1900 Summer Olympics in Le Havre, '"", ""'Written and produced by Jean-Michel Rivat, the song was Desireless' last hit single in '"", ""'Valenciennes ([valɑ̃sjɛn]; Dutch: Valencijn, Latin: Valentianae) is a commune in the Nord department in northern '"", ""'Jean-René Lecerf (born 10 April 1951 in Valenciennes) is a French politician and a member of the Senate of '"", ""'Dominique Leclerc (born 17 March 1944) is a French politician and a member of the Senate of '"", ""'The Jardin botanique de Besançon (Botanical Garden of Besançon), more formally the Jardin botanique de l'Université de Franche-Comté et de la Ville de Besançon, is a botanical garden located on the Place du Maréchal Leclerc, Besançon, Doubs, Franche-Comté, '"", ""'The Jardin botanique de l'Université de Rennes is a botanical garden maintained by the Faculty of Sciences of the University of Rennes 1, Avenue du General Leclerc, Rennes, Ille-et-Vilaine, Brittany, '"", ""'Its most illustrious member is Philippe Leclerc de Hauteclocque (1902–1947), leader of the Free French Forces during the Second World War and Marshal of '"", ""'Born in Kovno, Lithuania, he studied at the Pressburg Yeshiva in his youth, as well as in Paris under Rabbi Zadoc Kahn, chief rabbi of '"", ""'After Jourdan was beaten again at the Battle of Würzburg on 3 September, Moreau was forced to abandon southern Bavaria to avoid being cut off from '"", ""'By the beginning of September, the increasingly isolated Moreau was compelled to retrace his steps toward '"", ""'Moreau briskly repulsed Latour at Biberach and safely reached the Rhine before Charles cut him off from '"", ""'He was a cousin of Jean Le Veneur (their mothers Marie and Marguerite Blosset were sisters), and brother of Claude d'Annebault, marshal of '""]"
Frankfurt,"'In the preface he speaks of 'his friend the baron Goethe', whom he may have met at '","[""'The Deutsche Akademie für Sprache und Dichtung (in English German Academy for Language and Literature) was founded on 28 August 1949, on the 200th birthday of Johann Wolfgang von Goethe, in the Paulskirche in '"", ""'Since 1887, the painting has been in the possession of the Städel museum in Goethe's hometown '"", ""'Johann Wolfgang was himself born here in 1749 to his parents, Johann Caspar Goethe, a lawyer, and Katherine Elisabeth Textor, daughter of the mayor (Bürgermeister) of '"", ""'Rudolf was born in Frankfurt am Main where he studied cello, piano, organ, trumpet, and composition (with Bernhard Sekles) at the Hoch Conservatory in '"", ""'Graffi worked at the Paul Ehrlich Institute in '"", ""'In 1894 he became director of the dermatology clinic in Frankfurt, and with Paul Ehrlich (1854-1915), was instrumental in founding the University of '"", ""'In 1999-2001, he attended Kunstakademie Düsseldorf, where he studied with Magdalena Jetelowa.In 2001-2005, he studied with Tobias Rehberger at Städelschule Academy of Fine Art in '""]"
Geneva,"'Guido de Bres (also known as Guido de Bray, Guy de Bray and Guido de Brès, 1522 – 31 May 1567) was a Walloon pastor and theologian, a student of John Calvin and Theodore Beza in '","[""'This theory of governance developed in Geneva under John Calvin and was introduced to Scotland by John Knox after his period of exile in '"", ""':40 During the Protestant Reformation, Martin Luther and many other reformers, including those associated with the Reformed tradition, used hymns as well as psalms, but John Calvin preferred the Psalms and they were the only music allowed for worship in '"", ""'Nazareth also won the first Ernest Ansermet Conducting Competition in 1978 in '"", '\'Hans Jakob ""Jack"" Steinberger (born May 25, 1921) is a physicist currently residing near \'']"
Germany,'She also trained with Isabell Werth and Uwe Schulten-Baumer in ',"[""'Alfred Kubel (25 May 1909 in Braunschweig – 22 May 1999 in Bad Pyrmont) was a German politician; in his later career, he was a member of the Social Democratic Party of '"", ""'Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, '"", ""'He worked under Colmar Freiherr von der Goltz (Goltz Pasha) for a while and traveled to '"", ""'It was founded in 1851 by Ernst Christian Friedrich Schering as Schering AG in '"", ""'The Asam Brothers (Cosmas Damian Asam and Egid Quirin Asam) were sculptors, workers in stucco, painters, and architects, who worked mostly together and in southern '"", ""'Four trains carried 300 guests from the east, including the Northern Pacific's president, Henry Villard, and visiting dignitaries from the United States, England, and '"", ""'Sorge is a village and a former municipality in the district of Harz, in Saxony-Anhalt, '"", ""'The Sorge is a right affluent of river Eider in Schleswig-Holstein, '"", ""'As a philosophical movement it was founded in the early years of the 20th century by Edmund Husserl and was later expanded upon by a circle of his followers at the universities of Göttingen and Munich in '""]"
Gloucester,"'The Divine Legation of Moses is the best-known work of William Warburton, an English theologian of the 18th century who became bishop of '","[""'The village was the home of the theologian William Warburton, later the Bishop of '""]"
Greece,"'Aris Velouchiotis was appointed military leader of ELAS at the beginning of the Resistance Movement, by the EAM leadership, being at the same time a member of the Central Committee of the Communist Party of '","[""'She is also second cousin to King Felipe VI of Spain, ex-King Simeon II of Bulgaria, Grand Duke Henri of Luxembourg, Archduke Karl of Austria, Carlos, Duke of Parma, Crown Prince Alexander of Yugoslavia and Crown Prince Pavlos of '""]"
Hamburg,'Salomon Heine (19 October 1767 – 23 December 1844) was a merchant and banker in ',"[""'and the bank house of Salomon Heine and private founders such as Robert Kayser as the first joint-stock bank in northern Germany, becoming the largest bank in '"", ""'In this, he was joined in 1814 by his son Wilhelm Perthes (1793–1853), who had been in the publishing house of Justus's nephew Friedrich Christoph Perthes at '"", ""'While at school in Kiel, Jenner started to teach himself to write music but, after his father committed suicide in 1884 (he had been accused of abusing female patients), he was befriended and assisted by the poet Klaus Groth, who arranged for him to study with Brahms’s old teacher Eduard Marxsen in '"", ""'Jonathan Meese (born January 23, 1970) is a German painter, sculptor, performance artist and installation artist based in Berlin and '""]"
Hanover,"'From 1985 until 1987, he played in a jazz rock band called CIT, featuring Mousse T.. During this time Schäfer also worked as a studio musician at Stakkato Studio '","[""'He was appointed to the new post of town organist at Hannover, and then to the court of Ernest Augustus, Elector of Brunswick-Lüneburg; among his duties including being music teacher to Sophia Charlotte of '""]"
Heidelberg,'In 1920 he became head of the neurological department at Ludolf von Krehl's clinic in ',"[""'It was discovered on 21 February 1906 by August Kopff from '"", ""'627 Charis is a minor planet orbiting the Sun that was discovered by German astronomer August Kopff on March 4, 1907 from '"", ""'It was discovered on October 8, 1906 by August Kopff from '"", ""'650 Amalasuntha is a minor planet orbiting the Sun that was discovered by German astronomer August Kopff on October 4, 1907 at '"", ""'686 Gersuind is a minor planet orbiting the Sun that was discovered by German astronomer August Kopff on August 15, 1909 from '"", ""'It was discovered on 21 September 1909 August Kopff in '""]"
Helsinki,"'The club was known for its wild supporters, 116% Boys, and for its owner, Hjallis Harkimo who is also the owner of Jokerit, an ice hockey club based in '","[""'To honour his contributions to the arts, he received the Sibelius Medal from the Sibelius Society of Finland and the Medals of the cities Hämeenlinna and '""]"
Hollywood,'Hopper screened small portions of it in 1942 in her self produced short series Hedda Hopper's ',"[""'Charles Laughton (1 July 1899 – 15 December 1962) was an English stage and film character actor, director, producer and screenwriter who had a successful career in '"", ""'Gumpel had a short relationship with Greta Garbo before she moved to '"", ""'John Steinbeck and Lewis Milestone had a house in Jay, NY and they encouraged him to go to '""]"
Honolulu,"'Charles Montague Cooke, Jr., House and Kūkaʻōʻō Heiau is a property in '","[""'He was also educated at Henri Berger's Private School of Music in '""]"
Houston,"'Cast in 1939, it is in The Lillie and Hugh Roy Cullen Sculpture Garden, Museum of Fine Arts, '","[""'SHATTERED: The True Story of a Mother's Love, a Husband's Betrayal, and a Cold-Blooded Texas Murder, by author and novelist Kathryn Casey, is a true crime account of the killing of a pregnant woman whose body was discovered in 1999 in an upstairs closet in her home in Katy, Texas, near '""]"
India,"'Shalini Singh, popularly called as Pop Shalini, is a singer from Tamil Nadu, '","[""'P Krishnamurthy (also spelt as Krishnamoorthy and Krishnamurti) was a scientist and industrialist in '"", ""'Shanta Kumar (born 12 September 1934) is a former Chief Minister of Himachal Pradesh and a former minister in Government of '"", ""'S. Krishnamoorthy (born 9 October), better known by his screenname Madhan Bob, is a popular comedian and Tamil film actor from Chennai, Tamil Nadu, '"", ""'Ottavio's financier son, Massimo Quattrocchi, grew up with Sonia Gandhi's children Rahul and Priyanka Gandhi, who are currently rising through the political hierarchy in '"", ""'Prasanna Yoga Anjaneyar Temple is a Hindu temple devoted to Hanuman located near Madras Institute of Technology, Chromepet, Chennai, '"", ""'Prasanna Venkatesa Perumal Temple is a Hindu temple located in the town of Thanjavur in Tamil Nadu, '"", ""'PV Puram, also known as Prasanna Venkateswara Puram (ప్రసన్న వెంకటేశ్వర పురం)is a village located in Chittoor District, Andhra Pradesh, '"", ""'Jaishankar was the office bearer of the Sports Writers Association of Bangalore and its parent body Sports Journalist Federation of '"", ""'Parmar was the overall chief of Babbar Khalsa whereas Sukhdev Singh Babar was only the Chief of '"", ""'Tonse Madhav Ananth Pai, abbreviated: T. M. A. Pai, (April 30, 1898 – May 29, 1979), was an Indian doctor, educationist, banker and philanthropist, most well known for building the university town of Manipal, Karnataka, '"", ""'K. R. Gowri Amma (born 14 July 1919) heads the Janathipathiya Samrakshana Samithy (JSS), a political party based in Kerala, '"", ""'Vijay Balakrishna Shenoy is a Professor of Physics in Indian Institute of Science, Bangalore, '"", ""'Balakrishna was the guest of honour at the 43rd International Film Festival of '"", ""'Ramesh Choudary, also known by his stage name Jithan Ramesh, is a Tamil and Telugu film actor from Chennai, Tamil Nadu, '"", ""'Priyanandanan is a film and drama director from Kerala, '"", ""'Pisharoth Rama Pisharoty (Malayalam: പിഷാരത്ത് രാമ പിഷാരടി;February 10, 1909 – September 24, 2002) was an Indian physicist and meteorologist, and is considered to be the father of remote sensing in '"", ""'Nano City was a project proposed by the Haryana government and Sabeer Bhatia (co-founder of Hotmail) to build a city similar to Silicon Valley in northern '"", ""'Potti Sreeramulu Telugu University (PSTU) or simply Telugu University, is one of the few language universities in '"", ""'Ghanashyam Hemalata Institute of Technology and Management (GHITM) is a technological and management school located near Puri, '"", ""'Ravi Shankar, commonly known as Sri Sri Ravi Shankar, was born on 13 May 1956 in Tamil Nadu, '"", ""'Kaka Hathrasi (18 September 1906 – 18 September 1995) was a noted Hindi satirist and humorist poet of '"", ""'Subodh Kant Sahay (born 11 June 1951) is a member of the 14th Lok Sabha of '"", ""'For BJP politician from Madhya Pradesh, see Nagendra Singh(BJP politician) Maharaj Sri Nagendra Singh (Dungarpur, 18 March 1914 - The Hague, 11 December 1988) was an Indian lawyer and administrator who served as President of the International Court of Justice from 1985 to 1988.He was one of the three judges from India to have been on the International Court of Justice in The Hague, the others being R S Pathak, the 18th Chief Justice of India and Dalveer Bhandari, former Justice of the Supreme Court of '"", ""'Bimal Roy also won the Filmfare Best Director Award and the film won the Certificate of Merit at National Film Award of '"", ""'Ameen Sayani is a popular radio announcer from '"", ""'Pankaj Udhas is a ghazal singer, hailing from Gujarat in '"", ""'Fred Ruiz Castro (September 2, 1914 - April 19, 1979) was the Chief Justice of the Supreme Court of the Philippines from January 5, 1976 until his death on April 19, 1979 while on an official trip to '"", ""'Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, '"", ""'Mahavira was born into a royal family in what is now Bihar, '"", ""'MATS University, or in full name Mahaveer Academy of Technology and Science University, is a private university located in Raipur, Chhattisgarh, '"", ""'Muchhal Mahavir temple is a Jain temple dedicated to Lord Mahavir, at Ghanerao, in Pali district in Rajasthan state in '"", ""'Susri Dam, also known as Mahavir Bandhara (Mahavir Levee), is located around 7 kilometres (4.3 mi) north of Shahada, Nandurbar district in the state of Maharashtra, '"", '\'Mahāvīra (or Mahaviracharya, ""Mahavira the Teacher"") was a 9th-century Jain mathematician from Mysore, \'', ""'The Bhagwan Mahavir World Peace Award is a prize from India given by Sarhad organization of Pune City, '"", ""'Mahavir Stadium is a multipurpose sports complex located in Hisar city of Haryana, '"", ""'Teerthanker Mahaveer Medical College & Research Centre is a private medical college located near Moradabad in Moradabad district, Uttar Pradesh, '"", ""'Mahaveer Singh Rana is an Indian politician and is a member of the 16th Legislative Assembly of Uttar Pradesh of '"", ""'Mookencheril Cherian Joseph (6 January 1887 – 26 October 1981), popularly known as Yukthivadi M. C. Joseph, was an eminent rationalist from Kerala, '"", ""'Indigo 91.9 FM is Bangalore and Goa’s international music station, and is part of Indigo Music brand by Jupiter Capital, which is a Venture Development, Management and Investment Company owned by Rajeev Chandrasekhar, based in Bangalore, '"", ""'His nephew Ambar Roy and son Pranab Roy also played Test cricket for '"", ""'Rabi Ray (born 26 November 1926) is an Indian socialist politician, a Gandhian, a former speaker of Lok Sabha and a former Union minister of '"", ""'Godse, an advocate of Hindu nationalism, from Pune, Maharashtra, thought Gandhi favored the political demands of India's Muslims during the partition of '"", ""'Hemant Tukaram Godse (Marathi: हेमंत तुकाराम गोडसे) (b 3 August 1970 at sansari, Deolali camp, Nashik) is a member of the 16th Lok Sabha of '""]"
Indianapolis,'Robert Dale Owen Memorial is a public artwork located at the south entrance of the Indiana Statehouse along Washington Street in ',"[""'Alexander Ralston (1771 – January 5, 1827) was one of two co-architects for the design of the city of '"", ""'In April 1821 he along with Alexander Ralston received joint appointments as surveyors of '""]"
Indonesia,'Gerakan Pramuka is the national Scouting organization of ',"[""'Haji Tengku Rizal Nurdin (February 21, 1948 in Bukittinggi – September 5, 2005) was the 14th and 15th Governor of North Sumatra, '""]"
